pathology,landmark_id,n_samples,mean_error,std_error,median_error
Normal,0,72,5.375706864239135,2.885581897713788,5.250087559557074
Normal,1,72,5.252725173214129,2.9881422651554788,4.821933395002207
Normal,2,72,5.89468513658994,3.3001964126740626,5.3875878491954445
Normal,3,72,5.782394277054788,2.976408703981687,5.509563772214249
Normal,4,72,5.555769544651961,2.7363249458816052,5.347730323268147
Normal,5,72,5.269057600024353,2.5677749338238716,4.7102393181570665
Normal,6,72,5.41989739935897,3.1448659303071578,4.547288582931094
Normal,7,72,5.08949104943842,3.3733927565480175,4.071704240792106
Normal,8,72,5.5534881500438145,2.954409650063208,5.2961811946572475
Normal,9,72,5.826095732395844,2.6048160754152416,5.7769511689025626
Normal,10,72,5.739323582921397,2.5990468117351573,5.57021949226991
Normal,11,72,5.454997034490535,3.3054461651830565,4.961753282972623
Normal,12,72,5.83054976812851,3.554741044151652,4.7565802614339825
Normal,13,72,5.27310476413529,3.191334939149318,4.640384095796528
Normal,14,72,5.199273532101022,2.446537973143653,4.881811426963374
Viral Pneumonia,0,48,5.518408245446431,3.0321082023682546,5.787849253340152
Viral Pneumonia,1,48,5.687337581164049,3.349456074685019,4.7089349989607125
Viral Pneumonia,2,48,5.982165397920543,3.7724294690989497,5.381954180440208
Viral Pneumonia,3,48,5.03462455848451,2.6770707310042083,5.030975610370351
Viral Pneumonia,4,48,5.676319349867398,3.2062544006229974,5.0630622463586334
Viral Pneumonia,5,48,5.32543159180841,2.3906698466615715,5.162591750229515
Viral Pneumonia,6,48,5.746425923329515,2.546734366722371,5.79580041909042
Viral Pneumonia,7,48,5.55199783914992,3.0685507218802113,4.947336822369559
Viral Pneumonia,8,48,6.338216171936615,3.397238392449961,5.665847710552292
Viral Pneumonia,9,48,6.121937489048423,3.0824552838181094,5.098929412797416
Viral Pneumonia,10,48,5.785718809901328,3.578007371024594,5.136330777123259
Viral Pneumonia,11,48,5.0432135282968416,2.867192711799481,4.241845899008274
Viral Pneumonia,12,48,6.226051807157415,3.341436874132205,6.0730491024990965
Viral Pneumonia,13,48,5.9939805629525855,2.5549045911982753,5.369610682035223
Viral Pneumonia,14,48,5.582533656227148,3.011777312620613,5.016553678132752
COVID,0,39,5.706761428908244,3.3274297005052493,5.95195231489254
COVID,1,39,5.731781038756048,3.0069378928132866,5.119886538243283
COVID,2,39,5.054597654636155,2.4348708198579474,4.71520598923991
COVID,3,39,6.190592237132245,2.780810895545129,5.558459679316533
COVID,4,39,6.094993471330464,3.304029277131172,5.407567770255104
COVID,5,39,5.931863394534352,3.5424499318890206,5.631586866666873
COVID,6,39,5.864016093874945,2.9876005093524385,5.375411724266261
COVID,7,39,6.562217737251177,3.0392731721062454,6.431793295926812
COVID,8,39,5.415937214544285,3.450499212740044,4.790565863608774
COVID,9,39,6.1502032324039995,4.042226616891056,5.596558787500784
COVID,10,39,5.472990966690119,3.8030208705415736,4.26744122872152
COVID,11,39,5.315784676009515,2.584703220328491,5.064896939446706
COVID,12,39,5.832638479945536,3.2955075848191684,6.0256694349447795
COVID,13,39,5.558021857694484,2.833393931107497,5.412493767142682
COVID,14,39,5.580068928747833,3.069428554119245,5.005181264564294
